
# PURPOSE: This file distributes the geomagnetic planetary three-hour index Kp and associated geomagnetic indices as well as relevant solar indices.
# LICENSE: CC BY 4.0, except for the sunspot numbers contained in this file, which have the CC BY-NC 4.0 license
# SOURCE: Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences
# PLEASE CITE: Matzka, J., Stolle, C., Yamazaki, Y., Bronkalla, O. and Morschhauser, A., 2021. The geomagnetic Kp index 
# and derived indices of geomagnetic activity. Space Weather, https://doi.org/10.1029/2020SW002641
#
# Kp, ap and Ap
# The three-hourly equivalent planetary amplitude ap is derived from Kp and the daily equivalent planetary amplitude Ap is the daily mean of ap.
# Kp is unitless. Ap and ap are unitless and can be multiplied by 2 nT to yield the average geomagnetic disturbance at 50 degree geomagnetic latitude.
# Kp, ap and Ap were introduced by Bartels (1949, 1957) and are produced by Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences.
# Described in: Matzka et al. (2021), see reference above.
# Data publication: Matzka, J., Bronkalla, O., Tornow, K., Elger, K. and Stolle, C., 2021. Geomagnetic Kp index. V. 1.0. GFZ Data Services, 
# https://doi.org/10.5880/Kp.0001
# Note: the most recent values are nowcast values and will be replaced by definitive values as soon as they become available.
# 
# International Sunspot Number SN
# The international sunspot number SN (written with subscript N) is given as the daily total sunspot number version 2.0 introduced in 2015.
# The sunspot data is available under the licence CC BY-NC 4.0 from WDC-SILSO, Royal Observatory of Belgium, Brussels. Described in:
# Clette, F., Lefevre, L., 2016. The New Sunspot Number: assembling all corrections. Solar Physics, 291, https://doi.org/10.1007/s11207-016-1014-y 
# Note: the most recent values are preliminary and replaced by definitive values as soon as they become available.
#
# F10.7 Solar Radio Flux
# Local noon-time observed (F10.7obs) and adjusted (F10.7adj) solar radio flux F10.7 in s.f.u. (10^-22 W m^-2 Hz^-1) is provided by 
# Dominion Radio Astrophysical Observatory and Natural Resources Canada.
# Described in: Tapping, K.F., 2013. The 10.7 cm solar radio flux (F10.7). Space Weather, 11, 394-406, https://doi.org/10.1002/swe.20064 
# Note: For ionospheric and atmospheric studies the use of F10.7obs is recommended.
# 
# Short file description (for a detailed file description, see Kp_ap_Ap_SN_F107_format.txt):
# 40 header lines, all starting with #
# ASCII, blank separated and fixed length, missing data indicated by -1.000 for Kp, -1 for ap and SN, -1.0 for F10.7
# YYYY MM DD is date of UT day, days is days since 1932-01-01 00:00 UT to start of UT day, days_m is days since 1932-01-01 00:00 UT to midday of UT day
# BSR is Bartels solar rotation number, dB is day within BSR 
# Kp1 to Kp8 (Kp for the eight eighth of the UT day), ap1 to ap8 (ap for the eight eighth of the UT day), Ap, SN, F10.7obs, F10.7adj
# D indicates if the Kp and SN values are definitive or preliminary. D=0: Kp and SN preliminary; D=1: Kp definitive, SN preliminary; D=2 Kp and SN definitive
#
#
# The format for each line is (i stands for integer, f for float):
#iii ii ii iiiii fffff.f iiii ii ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff iiii iiii iiii iiii iiii iiii iiii iiii  iiii iii ffffff.f ffffff.f i
# The parameters in each line are:
#YYY MM DD  days  days_m  Bsr dB    Kp1    Kp2    Kp3    Kp4    Kp5    Kp6    Kp7    Kp8  ap1  ap2  ap3  ap4  ap5  ap6  ap7  ap8    Ap  SN F10.7obs F10.7adj D
2023 07 01 33419 33419.5 2590  3  2.000  2.000  0.667  0.667  0.667  0.667  1.000  1.333    7    7    3    3    3    3    4    5     4 136    165.5    171.0 2
2023 07 02 33420 33420.5 2590  4  0.667  1.333  0.667  1.333  1.667  1.000  0.333  1.000    3    5    3    5    6    4    2    4     4 148    170.2    175.9 2
2023 07 03 33421 33421.5 2590  5  1.333  0.667  0.667  1.000  1.000  1.000  0.667  1.333    5    3    3    4    4    4    3    5     4 154    173.2    179.0 2
2023 07 04 33422 33422.5 2590  6  0.667  1.000  0.667  0.667  1.000  1.000  0.667  0.667    3    4    3    3    4    4    3    3     3 140    167.2    172.8 2
2023 07 05 33423 33423.5 2590  7  1.333  0.667  0.333  0.333  1.333  2.667  1.667  2.333    5    3    2    2    5   12    6    9     6 135    154.6    159.8 2
2023 07 06 33424 33424.5 2590  8  2.000  2.000  1.667  3.333  3.000  2.333  1.667  2.667    7    7    6   18   15    9    6   12    10 145    157.6    162.9 2
2023 07 07 33425 33425.5 2590  9  3.000  2.667  3.667  4.000  2.667  2.667  3.667  3.333   15   12   22   27   12   12   22   18    18 159    161.4    166.8 2
2023 07 08 33426 33426.5 2590 10  3.333  1.333  1.333  1.000  0.333  1.000  1.333  0.667   18    5    5    4    2    4    5    3     6 177    160.5    165.9 2
2023 07 09 33427 33427.5 2590 11  0.000  0.333  0.333  1.000  1.000  1.333  0.667  1.000    0    2    2    4    4    5    3    4     3 180    179.2    185.2 2
2023 07 10 33428 33428.5 2590 12  1.000  1.000  0.333  1.000  1.333  1.000  1.333  0.667    4    4    2    4    5    4    5    3     4 191    190.6    196.9 2
2023 07 11 33429 33429.5 2590 13  2.000  0.667  2.667  1.000  2.000  2.000  1.667  1.667    7    3   12    4    7    7    6    6     6 210    213.5    220.6 2
2023 07 12 33430 33430.5 2590 14  2.000  1.333  1.333  1.333  1.333  1.667  2.333  1.000    7    5    5    5    5    6    9    4     6 196    193.3    199.7 2
2023 07 13 33431 33431.5 2590 15  2.000  0.667  1.333  0.667  1.333  3.000  2.333  1.667    7    3    5    3    5   15    9    6     7 152    202.9    209.7 2
2023 07 14 33432 33432.5 2590 16  3.000  3.333  3.333  1.667  2.667  4.333  4.667  3.667   15   18   18    6   12   32   39   22    20 152    180.6    186.6 2
2023 07 15 33433 33433.5 2590 17  2.667  1.667  1.000  2.667  2.333  1.000  0.667  0.667   12    6    4   12    9    4    3    3     7 127    178.5    184.5 2
2023 07 16 33434 33434.5 2590 18  0.667  0.667  0.333  0.333  0.667  0.667  3.333  4.000    3    3    2    2    3    3   18   27     8 166    184.3    190.4 2
2023 07 17 33435 33435.5 2590 19  2.667  1.667  4.000  4.000  3.000  2.000  4.667  4.333   12    6   27   27   15    7   39   32    21 159    180.0    185.9 2
2023 07 18 33436 33436.5 2590 20  4.333  2.667  2.000  1.667  3.333  1.333  3.667  1.667   32   12    7    6   18    5   22    6    14 168    218.5    225.7 2
2023 07 19 33437 33437.5 2590 21  0.667  1.000  1.333  1.000  1.333  1.000  0.667  0.667    3    4    5    4    5    4    3    3     4 165    188.9    195.1 2
2023 07 20 33438 33438.5 2590 22  0.667  1.000  0.667  0.667  1.333  4.333  3.667  2.000    3    4    3    3    5   32   22    7    10 177    184.3    190.3 2
2023 07 21 33439 33439.5 2590 23  2.333  3.333  1.667  1.333  1.000  2.000  2.333  4.333    9   18    6    5    4    7    9   32    11 150    172.8    178.5 2
2023 07 22 33440 33440.5 2590 24  3.000  2.667  2.333  2.000  1.667  0.333  1.000  1.667   15   12    9    7    6    2    4    6     8 140    174.4    180.0 2
2023 07 23 33441 33441.5 2590 25  0.333  0.667  1.333  1.000  1.667  2.333  2.333  2.000    2    3    5    4    6    9    9    7     6 144    172.5    178.0 2
2023 07 24 33442 33442.5 2590 26  2.333  1.333  0.667  1.000  1.667  1.000  1.667  2.333    9    5    3    4    6    4    6    9     6 140    165.1    170.3 2
2023 07 25 33443 33443.5 2590 27  1.000  0.667  1.667  0.667  2.000  1.667  2.333  4.333    4    3    6    3    7    6    9   32     9 138    169.0    174.4 2
2023 07 26 33444 33444.5 2591  1  3.333  4.667  4.000  3.333  3.000  3.000  2.667  2.333   18   39   27   18   15   15   12    9    19 153    167.4    172.6 2
2023 07 27 33445 33445.5 2591  2  2.000  1.667  1.333  2.000  1.000  2.000  1.667  1.000    7    6    5    7    4    7    6    4     6 146    165.3    170.5 2
2023 07 28 33446 33446.5 2591  3  0.333  0.333  0.333  1.000  2.000  1.333  2.333  2.333    2    2    2    4    7    5    9    9     5 165    168.2    173.4 2
2023 07 29 33447 33447.5 2591  4  2.000  2.333  0.333  1.000  3.000  3.000  2.333  1.667    7    9    2    4   15   15    9    6     8 178    178.6    184.1 2
2023 07 30 33448 33448.5 2591  5  0.667  2.667  1.333  2.333  2.667  2.000  2.000  1.667    3   12    5    9   12    7    7    6     8 181    174.4    179.7 2
2023 07 31 33449 33449.5 2591  6  1.000  1.000  1.667  1.333  2.000  2.333  0.667  1.333    4    4    6    5    7    9    3    5     5 187    177.1    182.4 2
