      alt[km]    geometric factor
 5.000000E-01         1.011453E-37
 1.500000E+00         1.677822E-30
 2.500000E+00         3.713735E-25
 3.500000E+00         4.249601E-21
 4.500000E+00         5.973994E-18
 5.500000E+00         1.830583E-15
 6.500000E+00         1.808853E-13
 7.500000E+00         7.584844E-12
 8.500000E+00         1.643382E-10
 9.500000E+00         2.124934E-09
 1.050000E+01         1.825384E-08
 1.150000E+01         1.129800E-07
 1.250000E+01         5.361863E-07
 1.350000E+01         2.047825E-06
 1.450000E+01         6.537807E-06
 1.550000E+01         1.798189E-05
 1.650000E+01         4.365228E-05
 1.750000E+01         9.537706E-05
 1.850000E+01         1.905793E-04
 1.950000E+01         3.528546E-04
 2.050000E+01         6.119480E-04
 2.150000E+01         1.003121E-03
 2.250000E+01         1.566009E-03
 2.350000E+01         2.343149E-03
 2.450000E+01         3.378346E-03
 2.550000E+01         4.715061E-03
 2.650000E+01         6.394931E-03
 2.750000E+01         8.456501E-03
 2.850000E+01         1.093420E-02
 2.950000E+01         1.385755E-02
 3.050000E+01         1.725065E-02
 3.150000E+01         2.113186E-02
 3.250000E+01         2.551361E-02
 3.350000E+01         3.040251E-02
 3.450000E+01         3.579947E-02
 3.550000E+01         4.170000E-02
 3.650000E+01         4.809461E-02
 3.750000E+01         5.496924E-02
 3.850000E+01         6.230581E-02
 3.950000E+01         7.008273E-02
 4.050000E+01         7.827546E-02
 4.150000E+01         8.685709E-02
 4.250000E+01         9.579888E-02
 4.350000E+01         1.050708E-01
 4.450000E+01         1.146418E-01
 4.550000E+01         1.244807E-01
 4.650000E+01         1.345562E-01
 4.750000E+01         1.448373E-01
 4.850000E+01         1.552936E-01
 4.950000E+01         1.658958E-01
 5.050000E+01         1.766154E-01
 5.150000E+01         1.874255E-01
 5.250000E+01         1.983002E-01
 5.350000E+01         2.092154E-01
 5.450000E+01         2.201483E-01
 5.550000E+01         2.310778E-01
 5.650000E+01         2.419844E-01
 5.750000E+01         2.528499E-01
 5.850000E+01         2.636579E-01
 5.950000E+01         2.743935E-01
 6.050000E+01         2.850428E-01
 6.150000E+01         2.955939E-01
 6.250000E+01         3.060357E-01
 6.350000E+01         3.163585E-01
 6.450000E+01         3.265539E-01
 6.550000E+01         3.366144E-01
 6.650000E+01         3.465336E-01
 6.750000E+01         3.563059E-01
 6.850000E+01         3.659269E-01
 6.950000E+01         3.753927E-01
 7.050000E+01         3.847003E-01
 7.150000E+01         3.938473E-01
 7.250000E+01         4.028318E-01
 7.350000E+01         4.116528E-01
 7.450000E+01         4.203095E-01
 7.550000E+01         4.288016E-01
 7.650000E+01         4.371295E-01
 7.750000E+01         4.452935E-01
 7.850000E+01         4.532945E-01
 7.950000E+01         4.611338E-01
 8.050000E+01         4.688128E-01
 8.150000E+01         4.763330E-01
 8.250000E+01         4.836964E-01
 8.350000E+01         4.909049E-01
 8.450000E+01         4.979607E-01
 8.550000E+01         5.048661E-01
 8.650000E+01         5.116235E-01
 8.750000E+01         5.182354E-01
 8.850000E+01         5.247043E-01
 8.950000E+01         5.310329E-01
 9.050000E+01         5.372237E-01
 9.150000E+01         5.432795E-01
 9.250000E+01         5.492030E-01
 9.350000E+01         5.549969E-01
 9.450000E+01         5.606639E-01
 9.550000E+01         5.662067E-01
 9.650000E+01         5.716281E-01
 9.750000E+01         5.769306E-01
 9.850000E+01         5.821170E-01
 9.950000E+01         5.871900E-01
 1.005000E+02         5.921521E-01
 1.015000E+02         5.970058E-01
 1.025000E+02         6.017538E-01
 1.035000E+02         6.063985E-01
 1.045000E+02         6.109424E-01
 1.055000E+02         6.153878E-01
 1.065000E+02         6.197372E-01
 1.075000E+02         6.239929E-01
 1.085000E+02         6.281571E-01
 1.095000E+02         6.322321E-01
 1.105000E+02         6.362200E-01
 1.115000E+02         6.401230E-01
 1.125000E+02         6.439431E-01
